"ACCNUM"	"SYMBOL"	"DESC"
"200814_at"	"NM_006263"	"PSME1"	"proteasome activator subunit 1"
"200815_s_at"	"L13386"	"PAFAH1B1"	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
"200816_s_at"	"NM_000430"	"PAFAH1B1"	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
"200817_x_at"	"NM_001014"	"RPS10"	"ribosomal protein S10"
"200818_at"	"NM_001697"	"ATP5O"	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
"200819_s_at"	"NM_001018"	"RPS15"	"ribosomal protein S15"
"200820_at"	"NM_002812"	"PSMD8"	"proteasome 26S subunit, non-ATPase 8"
"200821_at"	"NM_013995"	"LAMP2"	"lysosomal-associated membrane protein 2"
"200822_x_at"	"NM_000365"	"TPI1"	"triosephosphate isomerase 1"
"200823_x_at"	"NM_000992"	"RPL29"	"ribosomal protein L29"
"200824_at"	"NM_000852"	"GSTP1"	"glutathione S-transferase pi 1"
"200825_s_at"	"NM_006389"	"HYOU1"	"hypoxia up-regulated 1"
"200826_at"	"NM_004597"	"SNRPD2"	"small nuclear ribonucleoprotein D2 polypeptide 16.5kDa"
"200827_at"	"NM_000302"	"PLOD1"	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
"200828_s_at"	"BE871379"	"ZNF207"	"zinc finger protein 207"
"200829_x_at"	"NM_003457"	"ZNF207"	"zinc finger protein 207"
"200830_at"	"NM_002808"	"PSMD2"	"proteasome 26S subunit, non-ATPase 2"
"200831_s_at"	"AA678241"	"SCD"	"stearoyl-CoA desaturase (delta-9-desaturase)"
"200832_s_at"	"AB032261"	"SCD"	"stearoyl-CoA desaturase (delta-9-desaturase)"
"200833_s_at"	"NM_015646"	"RAP1B"	"RAP1B, member of RAS oncogene family"
"200834_s_at"	"NM_001024"	"RPS21"	"ribosomal protein S21"
"200835_s_at"	"AI553791"	"MAP4"	"microtubule-associated protein 4"
"200836_s_at"	"NM_002375"	"MAP4"	"microtubule-associated protein 4"
"200837_at"	"NM_005745"	"BCAP31"	"B-cell receptor-associated protein 31"
"200838_at"	"NM_001908"	"CTSB"	"cathepsin B"
"200839_s_at"	"NM_001908"	"CTSB"	"cathepsin B"
"200840_at"	"NM_005548"	"KARS"	"lysyl-tRNA synthetase"
"200841_s_at"	"AI142677"	"EPRS"	"glutamyl-prolyl-tRNA synthetase"
"200842_s_at"	"AI475965"	"EPRS"	"glutamyl-prolyl-tRNA synthetase"
"200843_s_at"	"NM_004446"	"EPRS"	"glutamyl-prolyl-tRNA synthetase"
"200844_s_at"	"BE869583"	"PRDX6"	"peroxiredoxin 6"
"200845_s_at"	"NM_004905"	"PRDX6"	"peroxiredoxin 6"
"200846_s_at"	"NM_002708"	"PPP1CA"	"protein phosphatase 1, catalytic subunit, alpha isozyme"
"200847_s_at"	"NM_016127"	"SARAF"	"store-operated calcium entry-associated regulatory factor"
"200848_at"	"AA479488"	"AHCYL1"	"adenosylhomocysteinase-like 1"
"200849_s_at"	"AI589266"	"AHCYL1"	"adenosylhomocysteinase-like 1"
"200850_s_at"	"NM_006621"	"AHCYL1"	"adenosylhomocysteinase-like 1"
"200851_s_at"	"NM_014761"	"IST1"	"increased sodium tolerance 1 homolog (yeast)"
"200852_x_at"	"NM_005273"	"GNB2"	"guanine nucleotide binding protein (G protein), beta polypeptide 2"
"200853_at"	"NM_002106"	"H2AFZ"	"H2A histone family, member Z"
"200854_at"	"AB028970"	"NCOR1"	"nuclear receptor corepressor 1"
"200855_at"	"AW771910"	"NCOR1"	"nuclear receptor corepressor 1"
"200856_x_at"	"BF437948"	"NCOR1"	"nuclear receptor corepressor 1"
"200857_s_at"	"NM_006311"	"NCOR1"	"nuclear receptor corepressor 1"
"200858_s_at"	"NM_001012"	"NA"	"NA"
"200859_x_at"	"NM_001456"	"FLNA"	"filamin A, alpha"
"200860_s_at"	"BC000779"	"CNOT1"	"CCR4-NOT transcription complex, subunit 1"
"200861_at"	"NM_016284"	"CNOT1"	"CCR4-NOT transcription complex, subunit 1"
"200862_at"	"NM_014762"	"DHCR24"	"24-dehydrocholesterol reductase"
"200863_s_at"	"AI215102"	"RAB11A"	"RAB11A, member RAS oncogene family"
"200864_s_at"	"NM_004663"	"RAB11A"	"RAB11A, member RAS oncogene family"
"200865_at"	"AI001896"	"EIF3F"	"eukaryotic translation initiation factor 3, subunit F"
"200866_s_at"	"M32221"	"PSAP"	"prosaposin"
"200867_at"	"AL031685"	"RNF114"	"ring finger protein 114"
"200868_s_at"	"NM_018683"	"RNF114"	"ring finger protein 114"
"200869_at"	"NM_000980"	"NA"	"NA"
"200870_at"	"NM_007178"	"STRAP"	"serine/threonine kinase receptor associated protein"
"200871_s_at"	"NM_002778"	"PSAP"	"prosaposin"
"200872_at"	"NM_002966"	"S100A10"	"S100 calcium binding protein A10"
"200873_s_at"	"NM_006585"	"CCT8"	"chaperonin containing TCP1, subunit 8 (theta)"
"200874_s_at"	"BE796327"	"NA"	"NA"
"200875_s_at"	"NM_006392"	"NA"	"NA"
"200876_s_at"	"NM_002793"	"PSMB1"	"proteasome subunit beta 1"
"200877_at"	"NM_006430"	"CCT4"	"chaperonin containing TCP1, subunit 4 (delta)"
"200878_at"	"AF052094"	"EPAS1"	"endothelial PAS domain protein 1"
"200879_s_at"	"NM_001430"	"EPAS1"	"endothelial PAS domain protein 1"
"200880_at"	"AL534104"	"DNAJA1"	"DnaJ (Hsp40) homolog, subfamily A, member 1"
"200881_s_at"	"NM_001539"	"DNAJA1"	"DnaJ (Hsp40) homolog, subfamily A, member 1"
"200882_s_at"	"NM_002810"	"PSMD4"	"proteasome 26S subunit, non-ATPase 4"
"200883_at"	"NM_003366"	"UQCRC2"	"ubiquinol-cytochrome c reductase core protein II"
"200884_at"	"NM_001823"	"CKB"	"creatine kinase, brain"
"200885_at"	"NM_005167"	"NA"	"NA"
"200886_s_at"	"NM_002629"	"PGAM1"	"phosphoglycerate mutase 1 (brain)"
"200887_s_at"	"NM_007315"	"STAT1"	"signal transducer and activator of transcription 1, 91kDa"
"200888_s_at"	"NM_000978"	"NA"	"NA"
"200889_s_at"	"AI016620"	"SSR1"	"signal sequence receptor, alpha"
"200890_s_at"	"AW006345"	"SSR1"	"signal sequence receptor, alpha"
"200891_s_at"	"NM_003144"	"SSR1"	"signal sequence receptor, alpha"
"200892_s_at"	"BC000451"	"TRA2B"	"transformer 2 beta homolog (Drosophila)"
"200893_at"	"NM_004593"	"TRA2B"	"transformer 2 beta homolog (Drosophila)"
"200894_s_at"	"AA894574"	"FKBP4"	"FK506 binding protein 4, 59kDa"
"200895_s_at"	"NM_002014"	"FKBP4"	"FK506 binding protein 4, 59kDa"
"200896_x_at"	"NM_004494"	"HDGF"	"hepatoma-derived growth factor"
"200897_s_at"	"NM_016081"	"PALLD"	"palladin, cytoskeletal associated protein"
"200898_s_at"	"AK002091"	"MGEA5"	"meningioma expressed antigen 5 (hyaluronidase)"
"200899_s_at"	"NM_012215"	"MGEA5"	"meningioma expressed antigen 5 (hyaluronidase)"
"200900_s_at"	"AI583537"	"M6PR"	"mannose-6-phosphate receptor (cation dependent)"
"200901_s_at"	"NM_002355"	"NA"	"NA"
"200902_at"	"NM_004261"	"SEP15"	"15 kDa selenoprotein"
"200903_s_at"	"NM_000687"	"AHCY"	"adenosylhomocysteinase"
"200904_at"	"X56841"	"HLA-E"	"major histocompatibility complex, class I, E"
"200905_x_at"	"NM_005516"	"HLA-E"	"major histocompatibility complex, class I, E"
"200906_s_at"	"AK025843"	"PALLD"	"palladin, cytoskeletal associated protein"
"200907_s_at"	"AU157932"	"PALLD"	"palladin, cytoskeletal associated protein"
"200908_s_at"	"BC005354"	"RPLP2"	"ribosomal protein, large, P2"
"200909_s_at"	"NM_001004"	"NA"	"NA"
"200910_at"	"NM_005998"	"CCT3"	"chaperonin containing TCP1, subunit 3 (gamma)"
"200911_s_at"	"NM_006283"	"TACC1"	"transforming, acidic coiled-coil containing protein 1"
"200912_s_at"	"NM_001967"	"NA"	"NA"
"200913_at"	"NM_002707"	"PPM1G"	"protein phosphatase, Mg2+/Mn2+ dependent, 1G"
"200914_x_at"	"BF589024"	"KTN1"	"kinectin 1 (kinesin receptor)"
"200915_x_at"	"NM_004986"	"KTN1"	"kinectin 1 (kinesin receptor)"
"200916_at"	"NM_003564"	"TAGLN2"	"transgelin 2"
"200917_s_at"	"BG474541"	"SRPR"	"signal recognition particle receptor (docking protein)"
"200918_s_at"	"NM_003139"	"SRPR"	"signal recognition particle receptor (docking protein)"
"200919_at"	"NM_004427"	"PHC2"	"polyhomeotic homolog 2 (Drosophila)"
"200920_s_at"	"AL535380"	"BTG1"	"B-cell translocation gene 1, anti-proliferative"
"200921_s_at"	"NM_001731"	"BTG1"	"B-cell translocation gene 1, anti-proliferative"
"200922_at"	"NM_006801"	"KDELR1"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1"
"200923_at"	"NM_005567"	"LGALS3BP"	"lectin, galactoside-binding, soluble, 3 binding protein"
"200924_s_at"	"NM_002394"	"SLC3A2"	"solute carrier family 3 (amino acid transporter heavy chain), member 2"
"200925_at"	"NM_004373"	"COX6A1"	"cytochrome c oxidase subunit VIa polypeptide 1"
"200926_at"	"NM_001025"	"RPS23"	"ribosomal protein S23"
"200927_s_at"	"AA919115"	"RAB14"	"RAB14, member RAS oncogene family"
"200928_s_at"	"AL162081"	"RAB14"	"RAB14, member RAS oncogene family"
"200929_at"	"NM_006827"	"TMED10"	"transmembrane p24 trafficking protein 10"
"200930_s_at"	"AA156675"	"VCL"	"vinculin"
"200931_s_at"	"NM_014000"	"VCL"	"vinculin"
"200932_s_at"	"NM_006400"	"DCTN2"	"dynactin 2 (p50)"
"200933_x_at"	"NM_001007"	"RPS4X"	"ribosomal protein S4, X-linked"
"200934_at"	"NM_003472"	"DEK"	"DEK proto-oncogene"
"200935_at"	"NM_004343"	"CALR"	"calreticulin"
"200936_at"	"NM_000973"	"RPL8"	"ribosomal protein L8"
"200937_s_at"	"NM_000969"	"NA"	"NA"
"200938_s_at"	"AI920976"	"RERE"	"arginine-glutamic acid dipeptide (RE) repeats"
"200939_s_at"	"NM_012102"	"RERE"	"arginine-glutamic acid dipeptide (RE) repeats"
"200940_s_at"	"AB036737"	"RERE"	"arginine-glutamic acid dipeptide (RE) repeats"
"200941_at"	"AK026575"	"HSBP1"	"heat shock factor binding protein 1"
"200942_s_at"	"NM_001537"	"HSBP1"	"heat shock factor binding protein 1"
"200943_at"	"NM_004965"	"HMGN1"	"high mobility group nucleosome binding domain 1"
"200944_s_at"	"NM_004965"	"HMGN1"	"high mobility group nucleosome binding domain 1"
"200945_s_at"	"NM_014933"	"SEC31A"	"SEC31 homolog A, COPII coat complex component"
"200946_x_at"	"AI339331"	"GLUD1"	"glutamate dehydrogenase 1"
"200947_s_at"	"NM_005271"	"GLUD1"	"glutamate dehydrogenase 1"
"200948_at"	"NM_005439"	"MLF2"	"myeloid leukemia factor 2"
"200949_x_at"	"NM_001023"	"NA"	"NA"
"200950_at"	"NM_006409"	"ARPC1A"	"actin related protein 2/3 complex, subunit 1A, 41kDa"
"200951_s_at"	"AW026491"	"CCND2"	"cyclin D2"
"200952_s_at"	"AI635187"	"CCND2"	"cyclin D2"
"200953_s_at"	"NM_001759"	"CCND2"	"cyclin D2"
"200954_at"	"NM_001694"	"ATP6V0C"	"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
"200955_at"	"NM_006839"	"IMMT"	"inner membrane protein, mitochondrial"
"200956_s_at"	"BE795648"	"SSRP1"	"structure specific recognition protein 1"
"200957_s_at"	"NM_003146"	"SSRP1"	"structure specific recognition protein 1"
"200958_s_at"	"NM_005625"	"SDCBP"	"syndecan binding protein (syntenin)"
"200959_at"	"NM_004960"	"FUS"	"FUS RNA binding protein"
"200960_x_at"	"NM_007096"	"CLTA"	"clathrin, light chain A"
"200961_at"	"NM_012248"	"SEPHS2"	"selenophosphate synthetase 2"
"200962_at"	"AI348010"	"RPL31"	"ribosomal protein L31"
"200963_x_at"	"NM_000993"	"RPL31"	"ribosomal protein L31"
"200964_at"	"NM_003334"	"UBA1"	"ubiquitin-like modifier activating enzyme 1"
"200965_s_at"	"NM_006720"	"ABLIM1"	"actin binding LIM protein 1"
"200966_x_at"	"NM_000034"	"ALDOA"	"aldolase A, fructose-bisphosphate"
"200967_at"	"NM_000942"	"PPIB"	"peptidylprolyl isomerase B (cyclophilin B)"
"200968_s_at"	"NM_000942"	"PPIB"	"peptidylprolyl isomerase B (cyclophilin B)"
"200969_at"	"BG107676"	"SERP1"	"stress-associated endoplasmic reticulum protein 1"
"200970_s_at"	"AL136807"	"SERP1"	"stress-associated endoplasmic reticulum protein 1"
"200971_s_at"	"NM_014445"	"SERP1"	"stress-associated endoplasmic reticulum protein 1"
"200972_at"	"BC000704"	"TSPAN3"	"tetraspanin 3"
"200973_s_at"	"NM_005724"	"TSPAN3"	"tetraspanin 3"
"200974_at"	"NM_001613"	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"
"200975_at"	"NM_000310"	"PPT1"	"palmitoyl-protein thioesterase 1"
"200976_s_at"	"NM_006024"	"TAX1BP1"	"Tax1 (human T-cell leukemia virus type I) binding protein 1"
"200977_s_at"	"AF090891"	"TAX1BP1"	"Tax1 (human T-cell leukemia virus type I) binding protein 1"
"200978_at"	"NM_005917"	"MDH1"	"malate dehydrogenase 1, NAD (soluble)"
"200979_at"	"BF739979"	"PDHA1"	"pyruvate dehydrogenase (lipoamide) alpha 1"
"200980_s_at"	"NM_000284"	"PDHA1"	"pyruvate dehydrogenase (lipoamide) alpha 1"
"200981_x_at"	"NM_016592"	"GNAS"	"GNAS complex locus"
"200982_s_at"	"NM_001155"	"ANXA6"	"annexin A6"
"200983_x_at"	"BF983379"	"CD59"	"CD59 molecule, complement regulatory protein"
"200984_s_at"	"X16447"	"CD59"	"CD59 molecule, complement regulatory protein"
"200985_s_at"	"NM_000611"	"CD59"	"CD59 molecule, complement regulatory protein"
"200986_at"	"NM_000062"	"SERPING1"	"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1"
"200987_x_at"	"AA758755"	"PSME3"	"proteasome activator subunit 3"
"200988_s_at"	"NM_005789"	"PSME3"	"proteasome activator subunit 3"
"200989_at"	"NM_001530"	"HIF1A"	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
"200990_at"	"NM_005762"	"TRIM28"	"tripartite motif containing 28"
"200991_s_at"	"NM_014748"	"SNX17"	"sorting nexin 17"
"200992_at"	"AL137335"	"IPO7"	"importin 7"
"200993_at"	"AA939270"	"IPO7"	"importin 7"
"200994_at"	"BG291787"	"IPO7"	"importin 7"
"200995_at"	"AI741392"	"IPO7"	"importin 7"
"200996_at"	"NM_005721"	"ACTR3"	"ARP3 actin-related protein 3 homolog (yeast)"
"200997_at"	"NM_002896"	"NA"	"NA"
"200998_s_at"	"AW029619"	"CKAP4"	"cytoskeleton-associated protein 4"
"200999_s_at"	"NM_006825"	"CKAP4"	"cytoskeleton-associated protein 4"
"201000_at"	"NM_001605"	"AARS"	"alanyl-tRNA synthetase"
"201001_s_at"	"BG164064"	"NA"	"NA"
"201002_s_at"	"U39361"	"NA"	"NA"
"201003_x_at"	"NM_003349"	"NA"	"NA"
"201004_at"	"NM_006280"	"SSR4"	"signal sequence receptor, delta"
"201005_at"	"NM_001769"	"CD9"	"CD9 molecule"
"201006_at"	"NM_005809"	"PRDX2"	"peroxiredoxin 2"
"201007_at"	"NM_000183"	"HADHB"	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit"
"201008_s_at"	"AA812232"	"TXNIP"	"thioredoxin interacting protein"
"201009_s_at"	"AI439556"	"TXNIP"	"thioredoxin interacting protein"
"201010_s_at"	"NM_006472"	"TXNIP"	"thioredoxin interacting protein"
"201011_at"	"NM_002950"	"RPN1"	"ribophorin I"
"201012_at"	"NM_000700"	"ANXA1"	"annexin A1"
"201013_s_at"	"AA902652"	"PAICS"	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
"201014_s_at"	"NM_006452"	"PAICS"	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
"201015_s_at"	"NM_021991"	"JUP"	"junction plakoglobin"
"201016_at"	"BE542684"	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"
"201017_at"	"BG149698"	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"
"201018_at"	"AL079283"	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"
"201019_s_at"	"NM_001412"	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"
"201020_at"	"NM_003405"	"YWHAH"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta"
"201021_s_at"	"BF697964"	"DSTN"	"destrin (actin depolymerizing factor)"
"201022_s_at"	"NM_006870"	"DSTN"	"destrin (actin depolymerizing factor)"
"201023_at"	"NM_005642"	"TAF7"	"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa"
"201024_x_at"	"BG261322"	"EIF5B"	"eukaryotic translation initiation factor 5B"
"201025_at"	"AB018284"	"EIF5B"	"eukaryotic translation initiation factor 5B"
"201026_at"	"AB018284"	"EIF5B"	"eukaryotic translation initiation factor 5B"
"201027_s_at"	"NM_015904"	"EIF5B"	"eukaryotic translation initiation factor 5B"
"201028_s_at"	"U82164"	"CD99"	"CD99 molecule"
"201029_s_at"	"NM_002414"	"CD99"	"CD99 molecule"
"201030_x_at"	"NM_002300"	"LDHB"	"lactate dehydrogenase B"
"201031_s_at"	"NM_005520"	"HNRNPH1"	"heterogeneous nuclear ribonucleoprotein H1 (H)"
"201032_at"	"NM_006698"	"BLCAP"	"bladder cancer associated protein"
"201033_x_at"	"NM_001002"	"RPLP0"	"ribosomal protein, large, P0"
"201034_at"	"BE545756"	"ADD3"	"adducin 3 (gamma)"
"201035_s_at"	"BC000306"	"HADH"	"hydroxyacyl-CoA dehydrogenase"
"201036_s_at"	"NM_005327"	"HADH"	"hydroxyacyl-CoA dehydrogenase"
"201037_at"	"NM_002627"	"PFKP"	"phosphofructokinase, platelet"
"201038_s_at"	"T67821"	"ANP32A"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"201039_s_at"	"BF572938"	"RAD23A"	"RAD23 homolog A, nucleotide excision repair protein"
"201040_at"	"NM_002070"	"GNAI2"	"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
"201041_s_at"	"NM_004417"	"DUSP1"	"dual specificity phosphatase 1"
"201042_at"	"AL031651"	"TGM2"	"transglutaminase 2"
"201043_s_at"	"NM_006305"	"ANP32A"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"201044_x_at"	"AA530892"	"DUSP1"	"dual specificity phosphatase 1"
"201045_s_at"	"BF513857"	"NA"	"NA"
"201046_s_at"	"NM_005053"	"RAD23A"	"RAD23 homolog A, nucleotide excision repair protein"
"201047_x_at"	"BC003617"	"NA"	"NA"
"201048_x_at"	"NM_002869"	"NA"	"NA"
"201049_s_at"	"NM_022551"	"RPS18"	"ribosomal protein S18"
"201050_at"	"NM_012268"	"PLD3"	"phospholipase D family, member 3"
"201051_at"	"BE560202"	"ANP32A"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"201052_s_at"	"BG029917"	"PSMF1"	"proteasome inhibitor subunit 1"
"201053_s_at"	"NM_006814"	"PSMF1"	"proteasome inhibitor subunit 1"
"201054_at"	"BE966599"	"HNRNPA0"	"heterogeneous nuclear ribonucleoprotein A0"
"201055_s_at"	"NM_006805"	"HNRNPA0"	"heterogeneous nuclear ribonucleoprotein A0"
"201056_at"	"N53479"	"GOLGB1"	"golgin B1"
"201057_s_at"	"NM_004487"	"GOLGB1"	"golgin B1"
"201058_s_at"	"NM_006097"	"MYL9"	"myosin, light chain 9, regulatory"
"201059_at"	"NM_005231"	"CTTN"	"cortactin"
"201060_x_at"	"AI537887"	"STOM"	"stomatin"
"201061_s_at"	"M81635"	"STOM"	"stomatin"
"201062_at"	"M81635"	"STOM"	"stomatin"
"201063_at"	"NM_002901"	"RCN1"	"reticulocalbin 1, EF-hand calcium binding domain"
"201064_s_at"	"NM_003819"	"PABPC4"	"poly(A) binding protein, cytoplasmic 4 (inducible form)"
"201065_s_at"	"NM_001518"	"NA"	"NA"
"201066_at"	"NM_001916"	"CYC1"	"cytochrome c-1"
"201067_at"	"BF215487"	"PSMC2"	"proteasome 26S subunit, ATPase 2"
"201068_s_at"	"NM_002803"	"PSMC2"	"proteasome 26S subunit, ATPase 2"
"201069_at"	"NM_004530"	"MMP2"	"matrix metallopeptidase 2"
"201070_x_at"	"AI739389"	"SF3B1"	"splicing factor 3b, subunit 1, 155kDa"
"201071_x_at"	"NM_012433"	"SF3B1"	"splicing factor 3b, subunit 1, 155kDa"
"201072_s_at"	"AW152160"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"201073_s_at"	"AL040633"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"201074_at"	"AA593983"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"201075_s_at"	"NM_003074"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"201076_at"	"NM_005008"	"SNU13"	"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)"
"201077_s_at"	"AF155235"	"NA"	"NA"
"201078_at"	"NM_004800"	"TM9SF2"	"transmembrane 9 superfamily member 2"
"201079_at"	"NM_004710"	"SYNGR2"	"synaptogyrin 2"
"201080_at"	"BF338509"	"PIP4K2B"	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"201081_s_at"	"NM_003559"	"PIP4K2B"	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"201082_s_at"	"NM_004082"	"NA"	"NA"
"201083_s_at"	"AA740754"	"BCLAF1"	"BCL2-associated transcription factor 1"
"201084_s_at"	"NM_014739"	"BCLAF1"	"BCL2-associated transcription factor 1"
"201085_s_at"	"AA664291"	"SON"	"SON DNA binding protein"
"201086_x_at"	"NM_003103"	"SON"	"SON DNA binding protein"
"201087_at"	"NM_002859"	"PXN"	"paxillin"
"201088_at"	"NM_002266"	"KPNA2"	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"
"201089_at"	"NM_001693"	"ATP6V1B2"	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
"201090_x_at"	"NM_006082"	"TUBA1B"	"tubulin, alpha 1b"
"201091_s_at"	"BE748755"	"CBX3"	"chromobox homolog 3"
"201092_at"	"NM_002893"	"RBBP7"	"retinoblastoma binding protein 7"
"201093_x_at"	"NM_004168"	"SDHA"	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
"201094_at"	"NM_001032"	"RPS29"	"ribosomal protein S29"
"201095_at"	"NM_004394"	"DAP"	"death-associated protein"
"201096_s_at"	"AL537042"	"ARF4"	"ADP-ribosylation factor 4"
"201097_s_at"	"NM_001660"	"ARF4"	"ADP-ribosylation factor 4"
"201098_at"	"NM_004766"	"COPB2"	"coatomer protein complex, subunit beta 2 (beta prime)"
"201099_at"	"AA824386"	"USP9X"	"ubiquitin specific peptidase 9, X-linked"
"201100_s_at"	"NM_004652"	"USP9X"	"ubiquitin specific peptidase 9, X-linked"
"201101_s_at"	"BE963370"	"BCLAF1"	"BCL2-associated transcription factor 1"
"201102_s_at"	"NM_002626"	"PFKL"	"phosphofructokinase, liver"
"201103_x_at"	"BE299495"	"NA"	"NA"
"201104_x_at"	"NM_015383"	"NA"	"NA"
"201105_at"	"NM_002305"	"LGALS1"	"lectin, galactoside-binding, soluble, 1"
"201106_at"	"NM_002085"	"GPX4"	"glutathione peroxidase 4"
"201107_s_at"	"AI812030"	"THBS1"	"thrombospondin 1"
"201108_s_at"	"BF055462"	"THBS1"	"thrombospondin 1"
"201109_s_at"	"AV726673"	"THBS1"	"thrombospondin 1"
"201110_s_at"	"NM_003246"	"THBS1"	"thrombospondin 1"
"201111_at"	"AF053641"	"CSE1L"	"CSE1 chromosome segregation 1-like (yeast)"
"201112_s_at"	"NM_001316"	"CSE1L"	"CSE1 chromosome segregation 1-like (yeast)"
"201113_at"	"NM_003321"	"TUFM"	"Tu translation elongation factor, mitochondrial"
"201114_x_at"	"NM_002792"	"PSMA7"	"proteasome subunit alpha 7"
"201115_at"	"NM_006230"	"POLD2"	"polymerase (DNA directed), delta 2, accessory subunit"
"201116_s_at"	"AI922855"	"CPE"	"carboxypeptidase E"
"201117_s_at"	"NM_001873"	"CPE"	"carboxypeptidase E"
"201118_at"	"NM_002631"	"PGD"	"phosphogluconate dehydrogenase"
"201119_s_at"	"NM_004074"	"COX8A"	"cytochrome c oxidase subunit VIIIA (ubiquitous)"
"201120_s_at"	"AL547946"	"PGRMC1"	"progesterone receptor membrane component 1"
"201121_s_at"	"NM_006667"	"PGRMC1"	"progesterone receptor membrane component 1"
"201122_x_at"	"BC000751"	"EIF5A"	"eukaryotic translation initiation factor 5A"
"201123_s_at"	"NM_001970"	"EIF5A"	"eukaryotic translation initiation factor 5A"
"201124_at"	"AL048423"	"ITGB5"	"integrin, beta 5"
"201125_s_at"	"NM_002213"	"ITGB5"	"integrin, beta 5"
"201126_s_at"	"NM_002406"	"MGAT1"	"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
"201127_s_at"	"AI971281"	"ACLY"	"ATP citrate lyase"
"201128_s_at"	"NM_001096"	"ACLY"	"ATP citrate lyase"
"201129_at"	"NM_006276"	"SRSF7"	"serine/arginine-rich splicing factor 7"
"201130_s_at"	"L08599"	"CDH1"	"cadherin 1, type 1"
"201131_s_at"	"NM_004360"	"CDH1"	"cadherin 1, type 1"
"201132_at"	"NM_019597"	"NA"	"NA"
"201133_s_at"	"AA142966"	"PJA2"	"praja ring finger 2, E3 ubiquitin protein ligase"
"201134_x_at"	"NM_001867"	"COX7C"	"cytochrome c oxidase subunit VIIc"
"201135_at"	"NM_004092"	"ECHS1"	"enoyl CoA hydratase, short chain, 1, mitochondrial"
"201136_at"	"NM_002668"	"PLP2"	"proteolipid protein 2 (colonic epithelium-enriched)"
